ts,type,plan_index,plan_time_utc,plan_path,action,reason
2026-02-08T00:00:00+00:00,PLAN_SWITCH,0,2026-02-08 00:00:00+00:00,/freqtrade/user_data/grid_plans/binance/ETH_USDT/grid_plan.20260212T034412853501+0000.json,HOLD,
2026-02-08T12:15:00+00:00,STOP,0,2026-02-08 00:00:00+00:00,,,STOP_OUT_TP
2026-02-09T16:30:00+00:00,PLAN_SWITCH,1,2026-02-09 16:16:47.871037+00:00,/freqtrade/user_data/grid_plans/binance/ETH_USDT/grid_plan.20260209T161647871037+0000.json,HOLD,
2026-02-09T16:30:00+00:00,STOP,1,2026-02-09 16:16:47.871037+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T16:45:00+00:00,STOP,1,2026-02-09 16:16:47.871037+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T17:00:00+00:00,STOP,1,2026-02-09 16:16:47.871037+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T17:15:00+00:00,STOP,1,2026-02-09 16:16:47.871037+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T17:30:00+00:00,PLAN_SWITCH,3,2026-02-09 17:21:01.886083+00:00,/freqtrade/user_data/grid_plans/binance/ETH_USDT/grid_plan.20260209T172101886083+0000.json,HOLD,
2026-02-09T17:30:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T17:45:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T18:00:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T18:15:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T18:30:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T18:45:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T19:00:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T19:15:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T19:30:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T19:45:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T20:00:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T20:15:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T20:30:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T20:45:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T21:00:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T21:15:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T21:30:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T21:45:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T22:00:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
2026-02-09T22:15:00+00:00,STOP,3,2026-02-09 17:21:01.886083+00:00,,,STOP_OUT_BOX_BREAK
