ts,type,plan_index,plan_time_utc,plan_path,action,orders,reason,reason_flags,start_block_reasons
2026-02-09T00:00:00+00:00,PLAN_SWITCH,0,2026-02-09 00:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T000000+0000.json,START,,,,
2026-02-09T00:00:00+00:00,SEED,0,,,,3.0,,,
2026-02-09T00:15:00+00:00,PLAN_SWITCH,1,2026-02-09 00:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T001500+0000.json,HOLD,,,,
2026-02-09T00:15:00+00:00,SOFT_ADJUST,1,,,HOLD,,,,
2026-02-09T00:30:00+00:00,PLAN_SWITCH,2,2026-02-09 00:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T003000+0000.json,HOLD,,,,
2026-02-09T00:30:00+00:00,SOFT_ADJUST,2,,,HOLD,,,,
2026-02-09T00:45:00+00:00,PLAN_SWITCH,3,2026-02-09 00:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T004500+0000.json,START,,,,
2026-02-09T00:45:00+00:00,SOFT_ADJUST,3,,,START,,,,
2026-02-09T01:00:00+00:00,PLAN_SWITCH,4,2026-02-09 01:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T010000+0000.json,HOLD,,,,
2026-02-09T01:00:00+00:00,SOFT_ADJUST,4,,,HOLD,,,,
2026-02-09T01:15:00+00:00,PLAN_SWITCH,5,2026-02-09 01:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T011500+0000.json,HOLD,,,,
2026-02-09T01:15:00+00:00,SOFT_ADJUST,5,,,HOLD,,,,
2026-02-09T01:30:00+00:00,PLAN_SWITCH,6,2026-02-09 01:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T013000+0000.json,HOLD,,,,
2026-02-09T01:45:00+00:00,PLAN_SWITCH,7,2026-02-09 01:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T014500+0000.json,HOLD,,,,
2026-02-09T01:45:00+00:00,SOFT_ADJUST,7,,,HOLD,,,,
2026-02-09T02:00:00+00:00,PLAN_SWITCH,8,2026-02-09 02:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T020000+0000.json,HOLD,,,,
2026-02-09T02:00:00+00:00,SOFT_ADJUST,8,,,HOLD,,,,
2026-02-09T02:15:00+00:00,PLAN_SWITCH,9,2026-02-09 02:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T021500+0000.json,HOLD,,,,
2026-02-09T02:15:00+00:00,SOFT_ADJUST,9,,,HOLD,,,,
2026-02-09T02:30:00+00:00,PLAN_SWITCH,10,2026-02-09 02:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T023000+0000.json,HOLD,,,,
2026-02-09T02:30:00+00:00,SOFT_ADJUST,10,,,HOLD,,,,
2026-02-09T02:45:00+00:00,PLAN_SWITCH,11,2026-02-09 02:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T024500+0000.json,HOLD,,,,
2026-02-09T02:45:00+00:00,SOFT_ADJUST,11,,,HOLD,,,,
2026-02-09T03:00:00+00:00,PLAN_SWITCH,12,2026-02-09 03:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T030000+0000.json,HOLD,,,,
2026-02-09T03:00:00+00:00,SOFT_ADJUST,12,,,HOLD,,,,
2026-02-09T03:15:00+00:00,PLAN_SWITCH,13,2026-02-09 03:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T031500+0000.json,HOLD,,,,
2026-02-09T03:15:00+00:00,SOFT_ADJUST,13,,,HOLD,,,,
2026-02-09T03:30:00+00:00,PLAN_SWITCH,14,2026-02-09 03:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T033000+0000.json,HOLD,,,,
2026-02-09T03:30:00+00:00,SOFT_ADJUST,14,,,HOLD,,,,
2026-02-09T03:45:00+00:00,PLAN_SWITCH,15,2026-02-09 03:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T034500+0000.json,HOLD,,,,
2026-02-09T03:45:00+00:00,SOFT_ADJUST,15,,,HOLD,,,,
2026-02-09T04:00:00+00:00,PLAN_SWITCH,16,2026-02-09 04:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T040000+0000.json,HOLD,,,,
2026-02-09T04:00:00+00:00,SOFT_ADJUST,16,,,HOLD,,,,
2026-02-09T04:15:00+00:00,PLAN_SWITCH,17,2026-02-09 04:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T041500+0000.json,HOLD,,,,
2026-02-09T04:15:00+00:00,SOFT_ADJUST,17,,,HOLD,,,,
2026-02-09T04:30:00+00:00,PLAN_SWITCH,18,2026-02-09 04:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T043000+0000.json,HOLD,,,,
2026-02-09T04:30:00+00:00,SOFT_ADJUST,18,,,HOLD,,,,
2026-02-09T04:45:00+00:00,PLAN_SWITCH,19,2026-02-09 04:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T044500+0000.json,HOLD,,,,
2026-02-09T04:45:00+00:00,SOFT_ADJUST,19,,,HOLD,,,,
2026-02-09T05:00:00+00:00,PLAN_SWITCH,20,2026-02-09 05:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T050000+0000.json,HOLD,,,,
2026-02-09T05:00:00+00:00,SOFT_ADJUST,20,,,HOLD,,,,
2026-02-09T05:15:00+00:00,PLAN_SWITCH,21,2026-02-09 05:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T051500+0000.json,HOLD,,,,
2026-02-09T05:15:00+00:00,SOFT_ADJUST,21,,,HOLD,,,,
2026-02-09T05:30:00+00:00,PLAN_SWITCH,22,2026-02-09 05:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T053000+0000.json,HOLD,,,,
2026-02-09T05:30:00+00:00,SOFT_ADJUST,22,,,HOLD,,,,
2026-02-09T05:45:00+00:00,PLAN_SWITCH,23,2026-02-09 05:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T054500+0000.json,HOLD,,,,
2026-02-09T05:45:00+00:00,SOFT_ADJUST,23,,,HOLD,,,,
2026-02-09T06:00:00+00:00,PLAN_SWITCH,24,2026-02-09 06:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T060000+0000.json,HOLD,,,,
2026-02-09T06:00:00+00:00,SOFT_ADJUST,24,,,HOLD,,,,
2026-02-09T06:15:00+00:00,PLAN_SWITCH,25,2026-02-09 06:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T061500+0000.json,HOLD,,,,
2026-02-09T06:15:00+00:00,SOFT_ADJUST,25,,,HOLD,,,,
2026-02-09T06:30:00+00:00,PLAN_SWITCH,26,2026-02-09 06:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T063000+0000.json,HOLD,,,,
2026-02-09T06:30:00+00:00,SOFT_ADJUST,26,,,HOLD,,,,
2026-02-09T06:45:00+00:00,PLAN_SWITCH,27,2026-02-09 06:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T064500+0000.json,START,,,,
2026-02-09T06:45:00+00:00,SOFT_ADJUST,27,,,START,,,,
2026-02-09T07:00:00+00:00,PLAN_SWITCH,28,2026-02-09 07:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T070000+0000.json,START,,,,
2026-02-09T07:00:00+00:00,SOFT_ADJUST,28,,,START,,,,
2026-02-09T07:15:00+00:00,PLAN_SWITCH,29,2026-02-09 07:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T071500+0000.json,START,,,,
2026-02-09T07:15:00+00:00,SOFT_ADJUST,29,,,START,,,,
2026-02-09T07:30:00+00:00,PLAN_SWITCH,30,2026-02-09 07:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T073000+0000.json,HOLD,,,,
2026-02-09T07:30:00+00:00,SOFT_ADJUST,30,,,HOLD,,,,
2026-02-09T07:45:00+00:00,PLAN_SWITCH,31,2026-02-09 07:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T074500+0000.json,HOLD,,,,
2026-02-09T07:45:00+00:00,SOFT_ADJUST,31,,,HOLD,,,,
2026-02-09T08:00:00+00:00,PLAN_SWITCH,32,2026-02-09 08:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T080000+0000.json,HOLD,,,,
2026-02-09T08:00:00+00:00,SOFT_ADJUST,32,,,HOLD,,,,
2026-02-09T08:15:00+00:00,PLAN_SWITCH,33,2026-02-09 08:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T081500+0000.json,HOLD,,,,
2026-02-09T08:15:00+00:00,SOFT_ADJUST,33,,,HOLD,,,,
2026-02-09T08:30:00+00:00,PLAN_SWITCH,34,2026-02-09 08:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T083000+0000.json,HOLD,,,,
2026-02-09T08:45:00+00:00,PLAN_SWITCH,35,2026-02-09 08:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T084500+0000.json,HOLD,,,,
2026-02-09T08:45:00+00:00,SOFT_ADJUST,35,,,HOLD,,,,
2026-02-09T09:00:00+00:00,PLAN_SWITCH,36,2026-02-09 09:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T090000+0000.json,HOLD,,,,
2026-02-09T09:00:00+00:00,SOFT_ADJUST,36,,,HOLD,,,,
2026-02-09T09:15:00+00:00,PLAN_SWITCH,37,2026-02-09 09:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T091500+0000.json,HOLD,,,,
2026-02-09T09:15:00+00:00,SOFT_ADJUST,37,,,HOLD,,,,
2026-02-09T09:30:00+00:00,PLAN_SWITCH,38,2026-02-09 09:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T093000+0000.json,HOLD,,,,
2026-02-09T09:30:00+00:00,SOFT_ADJUST,38,,,HOLD,,,,
2026-02-09T09:45:00+00:00,PLAN_SWITCH,39,2026-02-09 09:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T094500+0000.json,STOP,,,,
2026-02-09T09:45:00+00:00,STOP,39,2026-02-09 09:45:00+00:00,,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbw_nonexp', 'gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'stop_rule_active']"
2026-02-09T10:00:00+00:00,PLAN_SWITCH,40,2026-02-09 10:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T100000+0000.json,STOP,,,,
2026-02-09T10:00:00+00:00,STOP,40,2026-02-09 10:00:00+00:00,,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-09T10:15:00+00:00,PLAN_SWITCH,41,2026-02-09 10:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T101500+0000.json,HOLD,,,,
2026-02-09T10:30:00+00:00,PLAN_SWITCH,42,2026-02-09 10:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T103000+0000.json,HOLD,,,,
2026-02-09T10:45:00+00:00,PLAN_SWITCH,43,2026-02-09 10:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T104500+0000.json,STOP,,,,
2026-02-09T10:45:00+00:00,STOP,43,2026-02-09 10:45:00+00:00,,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbw_nonexp', 'gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-09T11:00:00+00:00,PLAN_SWITCH,44,2026-02-09 11:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T110000+0000.json,STOP,,,,
2026-02-09T11:00:00+00:00,STOP,44,2026-02-09 11:00:00+00:00,,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-09T11:15:00+00:00,PLAN_SWITCH,45,2026-02-09 11:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T111500+0000.json,HOLD,,,,
2026-02-09T11:30:00+00:00,PLAN_SWITCH,46,2026-02-09 11:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T113000+0000.json,HOLD,,,,
2026-02-09T11:45:00+00:00,PLAN_SWITCH,47,2026-02-09 11:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T114500+0000.json,HOLD,,,,
2026-02-09T12:00:00+00:00,PLAN_SWITCH,48,2026-02-09 12:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T120000+0000.json,HOLD,,,,
2026-02-09T12:15:00+00:00,PLAN_SWITCH,49,2026-02-09 12:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T121500+0000.json,HOLD,,,,
2026-02-09T12:30:00+00:00,PLAN_SWITCH,50,2026-02-09 12:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T123000+0000.json,HOLD,,,,
2026-02-09T12:45:00+00:00,PLAN_SWITCH,51,2026-02-09 12:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T124500+0000.json,HOLD,,,,
2026-02-09T13:00:00+00:00,PLAN_SWITCH,52,2026-02-09 13:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T130000+0000.json,HOLD,,,,
2026-02-09T13:15:00+00:00,PLAN_SWITCH,53,2026-02-09 13:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T131500+0000.json,HOLD,,,,
2026-02-09T13:30:00+00:00,PLAN_SWITCH,54,2026-02-09 13:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T133000+0000.json,HOLD,,,,
2026-02-09T13:45:00+00:00,PLAN_SWITCH,55,2026-02-09 13:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T134500+0000.json,HOLD,,,,
2026-02-09T14:00:00+00:00,PLAN_SWITCH,56,2026-02-09 14:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T140000+0000.json,HOLD,,,,
2026-02-09T14:15:00+00:00,PLAN_SWITCH,57,2026-02-09 14:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T141500+0000.json,HOLD,,,,
2026-02-09T14:30:00+00:00,PLAN_SWITCH,58,2026-02-09 14:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T143000+0000.json,HOLD,,,,
2026-02-09T14:45:00+00:00,PLAN_SWITCH,59,2026-02-09 14:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T144500+0000.json,HOLD,,,,
2026-02-09T15:00:00+00:00,PLAN_SWITCH,60,2026-02-09 15:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T150000+0000.json,HOLD,,,,
2026-02-09T15:15:00+00:00,PLAN_SWITCH,61,2026-02-09 15:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T151500+0000.json,HOLD,,,,
2026-02-09T15:30:00+00:00,PLAN_SWITCH,62,2026-02-09 15:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T153000+0000.json,HOLD,,,,
2026-02-09T15:45:00+00:00,PLAN_SWITCH,63,2026-02-09 15:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T154500+0000.json,HOLD,,,,
2026-02-09T16:00:00+00:00,PLAN_SWITCH,64,2026-02-09 16:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T160000+0000.json,HOLD,,,,
2026-02-09T16:15:00+00:00,PLAN_SWITCH,65,2026-02-09 16:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_001_plans/grid_plan.20260209T161500+0000.json,HOLD,,,,
