ts,type,plan_index,plan_time_utc,plan_path,action,reason,reason_flags,start_block_reasons
2026-02-10T00:00:00+00:00,PLAN_SWITCH,0,2026-02-10 00:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T000000+0000.json,HOLD,,,
2026-02-10T00:15:00+00:00,PLAN_SWITCH,1,2026-02-10 00:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T001500+0000.json,HOLD,,,
2026-02-10T00:30:00+00:00,PLAN_SWITCH,2,2026-02-10 00:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T003000+0000.json,HOLD,,,
2026-02-10T00:45:00+00:00,PLAN_SWITCH,3,2026-02-10 00:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T004500+0000.json,HOLD,,,
2026-02-10T01:00:00+00:00,PLAN_SWITCH,4,2026-02-10 01:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T010000+0000.json,HOLD,,,
2026-02-10T01:15:00+00:00,PLAN_SWITCH,5,2026-02-10 01:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T011500+0000.json,HOLD,,,
2026-02-10T01:30:00+00:00,PLAN_SWITCH,6,2026-02-10 01:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T013000+0000.json,HOLD,,,
2026-02-10T01:45:00+00:00,PLAN_SWITCH,7,2026-02-10 01:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T014500+0000.json,HOLD,,,
2026-02-10T02:00:00+00:00,PLAN_SWITCH,8,2026-02-10 02:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T020000+0000.json,HOLD,,,
2026-02-10T02:15:00+00:00,PLAN_SWITCH,9,2026-02-10 02:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T021500+0000.json,HOLD,,,
2026-02-10T02:30:00+00:00,PLAN_SWITCH,10,2026-02-10 02:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T023000+0000.json,HOLD,,,
2026-02-10T02:45:00+00:00,PLAN_SWITCH,11,2026-02-10 02:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T024500+0000.json,HOLD,,,
2026-02-10T03:00:00+00:00,PLAN_SWITCH,12,2026-02-10 03:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T030000+0000.json,HOLD,,,
2026-02-10T03:15:00+00:00,PLAN_SWITCH,13,2026-02-10 03:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T031500+0000.json,HOLD,,,
2026-02-10T03:30:00+00:00,PLAN_SWITCH,14,2026-02-10 03:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T033000+0000.json,HOLD,,,
2026-02-10T03:45:00+00:00,PLAN_SWITCH,15,2026-02-10 03:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T034500+0000.json,HOLD,,,
2026-02-10T04:00:00+00:00,PLAN_SWITCH,16,2026-02-10 04:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T040000+0000.json,HOLD,,,
2026-02-10T04:15:00+00:00,PLAN_SWITCH,17,2026-02-10 04:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T041500+0000.json,HOLD,,,
2026-02-10T04:30:00+00:00,PLAN_SWITCH,18,2026-02-10 04:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T043000+0000.json,HOLD,,,
2026-02-10T04:45:00+00:00,PLAN_SWITCH,19,2026-02-10 04:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T044500+0000.json,HOLD,,,
2026-02-10T05:00:00+00:00,PLAN_SWITCH,20,2026-02-10 05:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T050000+0000.json,HOLD,,,
2026-02-10T05:15:00+00:00,PLAN_SWITCH,21,2026-02-10 05:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T051500+0000.json,HOLD,,,
2026-02-10T05:30:00+00:00,PLAN_SWITCH,22,2026-02-10 05:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T053000+0000.json,HOLD,,,
2026-02-10T05:45:00+00:00,PLAN_SWITCH,23,2026-02-10 05:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T054500+0000.json,HOLD,,,
2026-02-10T06:00:00+00:00,PLAN_SWITCH,24,2026-02-10 06:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T060000+0000.json,STOP,,,
2026-02-10T06:00:00+00:00,STOP,24,2026-02-10 06:00:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'stop_rule_active']"
2026-02-10T06:15:00+00:00,PLAN_SWITCH,25,2026-02-10 06:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T061500+0000.json,HOLD,,,
2026-02-10T06:30:00+00:00,PLAN_SWITCH,26,2026-02-10 06:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T063000+0000.json,HOLD,,,
2026-02-10T06:45:00+00:00,PLAN_SWITCH,27,2026-02-10 06:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T064500+0000.json,HOLD,,,
2026-02-10T07:00:00+00:00,PLAN_SWITCH,28,2026-02-10 07:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T070000+0000.json,STOP,,,
2026-02-10T07:00:00+00:00,STOP,28,2026-02-10 07:00:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:vol_ok', 'gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T07:15:00+00:00,PLAN_SWITCH,29,2026-02-10 07:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T071500+0000.json,STOP,,,
2026-02-10T07:15:00+00:00,STOP,29,2026-02-10 07:15:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:vol_ok', 'gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T07:30:00+00:00,PLAN_SWITCH,30,2026-02-10 07:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T073000+0000.json,STOP,,,
2026-02-10T07:30:00+00:00,STOP,30,2026-02-10 07:30:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:vol_ok', 'gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T07:45:00+00:00,PLAN_SWITCH,31,2026-02-10 07:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T074500+0000.json,STOP,,,
2026-02-10T07:45:00+00:00,STOP,31,2026-02-10 07:45:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T08:00:00+00:00,PLAN_SWITCH,32,2026-02-10 08:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T080000+0000.json,STOP,,,
2026-02-10T08:00:00+00:00,STOP,32,2026-02-10 08:00:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T08:15:00+00:00,PLAN_SWITCH,33,2026-02-10 08:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T081500+0000.json,STOP,,,
2026-02-10T08:15:00+00:00,STOP,33,2026-02-10 08:15:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T08:30:00+00:00,PLAN_SWITCH,34,2026-02-10 08:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T083000+0000.json,STOP,,,
2026-02-10T08:30:00+00:00,STOP,34,2026-02-10 08:30:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T08:45:00+00:00,PLAN_SWITCH,35,2026-02-10 08:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T084500+0000.json,STOP,,,
2026-02-10T08:45:00+00:00,STOP,35,2026-02-10 08:45:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:cvd_gate_ok', 'rsi_out_of_range', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T09:00:00+00:00,PLAN_SWITCH,36,2026-02-10 09:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T090000+0000.json,HOLD,,,
2026-02-10T09:15:00+00:00,PLAN_SWITCH,37,2026-02-10 09:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T091500+0000.json,HOLD,,,
2026-02-10T09:30:00+00:00,PLAN_SWITCH,38,2026-02-10 09:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T093000+0000.json,HOLD,,,
2026-02-10T09:45:00+00:00,PLAN_SWITCH,39,2026-02-10 09:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T094500+0000.json,HOLD,,,
2026-02-10T10:00:00+00:00,PLAN_SWITCH,40,2026-02-10 10:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T100000+0000.json,HOLD,,,
2026-02-10T10:15:00+00:00,PLAN_SWITCH,41,2026-02-10 10:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T101500+0000.json,HOLD,,,
2026-02-10T10:30:00+00:00,PLAN_SWITCH,42,2026-02-10 10:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T103000+0000.json,HOLD,,,
2026-02-10T10:45:00+00:00,PLAN_SWITCH,43,2026-02-10 10:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T104500+0000.json,HOLD,,,
2026-02-10T11:00:00+00:00,PLAN_SWITCH,44,2026-02-10 11:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T110000+0000.json,HOLD,,,
2026-02-10T11:15:00+00:00,PLAN_SWITCH,45,2026-02-10 11:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T111500+0000.json,HOLD,,,
2026-02-10T11:30:00+00:00,PLAN_SWITCH,46,2026-02-10 11:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T113000+0000.json,HOLD,,,
2026-02-10T11:45:00+00:00,PLAN_SWITCH,47,2026-02-10 11:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T114500+0000.json,HOLD,,,
2026-02-10T12:00:00+00:00,PLAN_SWITCH,48,2026-02-10 12:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T120000+0000.json,HOLD,,,
2026-02-10T12:15:00+00:00,PLAN_SWITCH,49,2026-02-10 12:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T121500+0000.json,HOLD,,,
2026-02-10T12:30:00+00:00,PLAN_SWITCH,50,2026-02-10 12:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T123000+0000.json,HOLD,,,
2026-02-10T12:45:00+00:00,PLAN_SWITCH,51,2026-02-10 12:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T124500+0000.json,STOP,,,
2026-02-10T12:45:00+00:00,STOP,51,2026-02-10 12:45:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbw_nonexp', 'gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'rsi_out_of_range', 'stop_rule_active']"
2026-02-10T13:00:00+00:00,PLAN_SWITCH,52,2026-02-10 13:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T130000+0000.json,STOP,,,
2026-02-10T13:00:00+00:00,STOP,52,2026-02-10 13:00:00+00:00,,,PLAN_STOP,['os_dev_trend_stop'],"['gate_fail:bbwp_gate_ok', 'gate_fail:os_dev_build_ok', 'gate_fail:fvg_gate_ok', 'reclaim_active', 'cooldown_active', 'stop_rule_active']"
2026-02-10T13:15:00+00:00,PLAN_SWITCH,53,2026-02-10 13:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T131500+0000.json,HOLD,,,
2026-02-10T13:30:00+00:00,PLAN_SWITCH,54,2026-02-10 13:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T133000+0000.json,HOLD,,,
2026-02-10T13:45:00+00:00,PLAN_SWITCH,55,2026-02-10 13:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T134500+0000.json,HOLD,,,
2026-02-10T14:00:00+00:00,PLAN_SWITCH,56,2026-02-10 14:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T140000+0000.json,HOLD,,,
2026-02-10T14:15:00+00:00,PLAN_SWITCH,57,2026-02-10 14:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T141500+0000.json,HOLD,,,
2026-02-10T14:30:00+00:00,PLAN_SWITCH,58,2026-02-10 14:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T143000+0000.json,HOLD,,,
2026-02-10T14:45:00+00:00,PLAN_SWITCH,59,2026-02-10 14:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T144500+0000.json,HOLD,,,
2026-02-10T15:00:00+00:00,PLAN_SWITCH,60,2026-02-10 15:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T150000+0000.json,HOLD,,,
2026-02-10T15:15:00+00:00,PLAN_SWITCH,61,2026-02-10 15:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T151500+0000.json,HOLD,,,
2026-02-10T15:30:00+00:00,PLAN_SWITCH,62,2026-02-10 15:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T153000+0000.json,HOLD,,,
2026-02-10T15:45:00+00:00,PLAN_SWITCH,63,2026-02-10 15:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T154500+0000.json,HOLD,,,
2026-02-10T16:00:00+00:00,PLAN_SWITCH,64,2026-02-10 16:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T160000+0000.json,HOLD,,,
2026-02-10T16:15:00+00:00,PLAN_SWITCH,65,2026-02-10 16:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T161500+0000.json,HOLD,,,
2026-02-10T16:30:00+00:00,PLAN_SWITCH,66,2026-02-10 16:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T163000+0000.json,HOLD,,,
2026-02-10T16:45:00+00:00,PLAN_SWITCH,67,2026-02-10 16:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T164500+0000.json,HOLD,,,
2026-02-10T17:00:00+00:00,PLAN_SWITCH,68,2026-02-10 17:00:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T170000+0000.json,HOLD,,,
2026-02-10T17:15:00+00:00,PLAN_SWITCH,69,2026-02-10 17:15:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T171500+0000.json,HOLD,,,
2026-02-10T17:30:00+00:00,PLAN_SWITCH,70,2026-02-10 17:30:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T173000+0000.json,HOLD,,,
2026-02-10T17:45:00+00:00,PLAN_SWITCH,71,2026-02-10 17:45:00+00:00,/freqtrade/user_data/walkforward/step1-smoke-20260212/window_002_plans/grid_plan.20260210T174500+0000.json,HOLD,,,
