ts,close,quote,base,equity,open_orders,stop,action,plan_index,plan_time_utc,start_counterfactual_required_count,start_counterfactual_single,start_counterfactual_combo,start_counterfactual_required
2026-02-11T00:00:00+00:00,2020.05,1000.0,0.0,1000.0,0,False,HOLD,0,2026-02-11 00:00:00+00:00,1,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok
2026-02-11T00:15:00+00:00,2027.14,1000.0,0.0,1000.0,0,False,HOLD,1,2026-02-11 00:15:00+00:00,1,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok
2026-02-11T00:30:00+00:00,2022.14,1000.0,0.0,1000.0,0,False,HOLD,2,2026-02-11 00:30:00+00:00,1,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok
2026-02-11T00:45:00+00:00,2025.41,1000.0,0.0,1000.0,0,False,HOLD,3,2026-02-11 00:45:00+00:00,1,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok
2026-02-11T01:00:00+00:00,2025.99,1000.0,0.0,1000.0,0,False,HOLD,4,2026-02-11 01:00:00+00:00,1,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok,gate_fail:fvg_gate_ok
2026-02-11T01:15:00+00:00,2018.08,1000.0,0.0,1000.0,3,False,START,5,2026-02-11 01:15:00+00:00,0,,,
2026-02-11T01:30:00+00:00,2026.36,1000.0,0.0,1000.0,3,False,HOLD,6,2026-02-11 01:30:00+00:00,1,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok
2026-02-11T01:45:00+00:00,2024.45,1000.0,0.0,1000.0,3,False,HOLD,7,2026-02-11 01:45:00+00:00,1,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok
2026-02-11T02:00:00+00:00,2024.5,1000.0,0.0,1000.0,3,False,HOLD,8,2026-02-11 02:00:00+00:00,1,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok
2026-02-11T02:15:00+00:00,2029.92,1000.0,0.0,1000.0,3,False,HOLD,9,2026-02-11 02:15:00+00:00,1,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok
2026-02-11T02:30:00+00:00,2023.01,1000.0,0.0,1000.0,3,False,HOLD,10,2026-02-11 02:30:00+00:00,1,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok
2026-02-11T02:45:00+00:00,2017.85,1000.0,0.0,1000.0,3,False,HOLD,11,2026-02-11 02:45:00+00:00,1,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok
2026-02-11T03:00:00+00:00,2010.26,1000.0,0.0,1000.0,3,False,HOLD,12,2026-02-11 03:00:00+00:00,2,,gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok,gate_fail:fvg_gate_ok|gate_fail:cvd_gate_ok
2026-02-11T03:15:00+00:00,2011.07,512.0456372783106,0.24282612092006836,1000.3859642770324,3,False,HOLD,13,2026-02-11 03:15:00+00:00,3,,gate_fail:os_dev_build_ok+gate_fail:fvg_gate_ok+gate_fail:cvd_gate_ok,gate_fail:os_dev_build_ok|gate_fail:fvg_gate_ok|gate_fail:cvd_gate_ok
2026-02-11T03:30:00+00:00,2016.85,512.0456372783106,0.24282612092006836,1001.7894992559504,3,False,HOLD,14,2026-02-11 03:30:00+00:00,1,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok
2026-02-11T03:45:00+00:00,2009.59,512.0456372783106,0.24282612092006836,1000.0265816180707,3,False,HOLD,15,2026-02-11 03:45:00+00:00,1,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok,gate_fail:cvd_gate_ok
