ts,type,plan_index,plan_time_utc,plan_path,action,reason,reason_flags,start_block_reasons
2026-02-05T00:00:00+00:00,PLAN_SWITCH,0,2026-02-05 00:00:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T000000+0000.json,HOLD,,,
2026-02-05T00:15:00+00:00,PLAN_SWITCH,1,2026-02-05 00:15:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T001500+0000.json,HOLD,,,
2026-02-05T00:30:00+00:00,PLAN_SWITCH,2,2026-02-05 00:30:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T003000+0000.json,HOLD,,,
2026-02-05T00:45:00+00:00,PLAN_SWITCH,3,2026-02-05 00:45:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T004500+0000.json,HOLD,,,
2026-02-05T01:00:00+00:00,PLAN_SWITCH,4,2026-02-05 01:00:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T010000+0000.json,HOLD,,,
2026-02-05T01:15:00+00:00,PLAN_SWITCH,5,2026-02-05 01:15:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T011500+0000.json,HOLD,,,
2026-02-05T01:30:00+00:00,PLAN_SWITCH,6,2026-02-05 01:30:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T013000+0000.json,HOLD,,,
2026-02-05T01:45:00+00:00,PLAN_SWITCH,7,2026-02-05 01:45:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T014500+0000.json,HOLD,,,
2026-02-05T02:00:00+00:00,PLAN_SWITCH,8,2026-02-05 02:00:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T020000+0000.json,HOLD,,,
2026-02-05T02:15:00+00:00,PLAN_SWITCH,9,2026-02-05 02:15:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T021500+0000.json,HOLD,,,
2026-02-05T02:30:00+00:00,PLAN_SWITCH,10,2026-02-05 02:30:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T023000+0000.json,HOLD,,,
2026-02-05T02:45:00+00:00,PLAN_SWITCH,11,2026-02-05 02:45:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T024500+0000.json,HOLD,,,
2026-02-05T03:00:00+00:00,PLAN_SWITCH,12,2026-02-05 03:00:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T030000+0000.json,HOLD,,,
2026-02-05T03:15:00+00:00,PLAN_SWITCH,13,2026-02-05 03:15:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T031500+0000.json,HOLD,,,
2026-02-05T03:30:00+00:00,PLAN_SWITCH,14,2026-02-05 03:30:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass15_osdev075/window_003_plans/grid_plan.20260205T033000+0000.json,HOLD,,,
