ts,close,quote,base,equity,open_orders,stop,action,plan_index,plan_time_utc
2026-02-07T00:00:00+00:00,2052.25,1000.0,0.0,1000.0,0,False,HOLD,0,2026-02-07 00:00:00+00:00
2026-02-07T00:15:00+00:00,2046.15,1000.0,0.0,1000.0,0,False,HOLD,1,2026-02-07 00:15:00+00:00
2026-02-07T00:30:00+00:00,2037.48,1000.0,0.0,1000.0,0,False,HOLD,2,2026-02-07 00:30:00+00:00
2026-02-07T00:45:00+00:00,2043.5,1000.0,0.0,1000.0,0,False,HOLD,3,2026-02-07 00:45:00+00:00
2026-02-07T01:00:00+00:00,2035.7,1000.0,0.0,1000.0,0,False,HOLD,4,2026-02-07 01:00:00+00:00
2026-02-07T01:15:00+00:00,2044.77,1000.0,0.0,1000.0,0,False,HOLD,5,2026-02-07 01:15:00+00:00
2026-02-07T01:30:00+00:00,2050.9,1000.0,0.0,1000.0,0,False,HOLD,6,2026-02-07 01:30:00+00:00
2026-02-07T01:45:00+00:00,2061.94,1000.0,0.0,1000.0,0,False,HOLD,7,2026-02-07 01:45:00+00:00
2026-02-07T02:00:00+00:00,2059.71,1000.0,0.0,1000.0,0,False,HOLD,8,2026-02-07 02:00:00+00:00
2026-02-07T02:15:00+00:00,2059.33,1000.0,0.0,1000.0,0,False,HOLD,9,2026-02-07 02:15:00+00:00
2026-02-07T02:30:00+00:00,2056.64,1000.0,0.0,1000.0,0,False,HOLD,10,2026-02-07 02:30:00+00:00
2026-02-07T02:45:00+00:00,2059.39,1000.0,0.0,1000.0,0,False,HOLD,11,2026-02-07 02:45:00+00:00
2026-02-07T03:00:00+00:00,2076.48,1000.0,0.0,1000.0,0,False,HOLD,12,2026-02-07 03:00:00+00:00
2026-02-07T03:15:00+00:00,2078.4,1000.0,0.0,1000.0,0,True,STOP,13,2026-02-07 03:15:00+00:00
2026-02-07T03:30:00+00:00,2078.49,1000.0,0.0,1000.0,0,False,HOLD,14,2026-02-07 03:30:00+00:00
2026-02-07T03:45:00+00:00,2080.81,1000.0,0.0,1000.0,0,False,HOLD,15,2026-02-07 03:45:00+00:00
2026-02-07T04:00:00+00:00,2104.74,1000.0,0.0,1000.0,0,False,HOLD,16,2026-02-07 04:00:00+00:00
2026-02-07T04:15:00+00:00,2097.05,1000.0,0.0,1000.0,0,True,STOP,17,2026-02-07 04:15:00+00:00
2026-02-07T04:30:00+00:00,2080.53,1000.0,0.0,1000.0,0,False,HOLD,18,2026-02-07 04:30:00+00:00
2026-02-07T04:45:00+00:00,2087.4,1000.0,0.0,1000.0,0,False,HOLD,19,2026-02-07 04:45:00+00:00
2026-02-07T05:00:00+00:00,2093.37,1000.0,0.0,1000.0,0,False,HOLD,20,2026-02-07 05:00:00+00:00
2026-02-07T05:15:00+00:00,2086.88,1000.0,0.0,1000.0,0,False,HOLD,21,2026-02-07 05:15:00+00:00
2026-02-07T05:30:00+00:00,2085.54,1000.0,0.0,1000.0,0,False,HOLD,22,2026-02-07 05:30:00+00:00
2026-02-07T05:45:00+00:00,2083.79,1000.0,0.0,1000.0,0,False,HOLD,23,2026-02-07 05:45:00+00:00
2026-02-07T06:00:00+00:00,2082.78,1000.0,0.0,1000.0,0,False,HOLD,24,2026-02-07 06:00:00+00:00
2026-02-07T06:15:00+00:00,2079.09,1000.0,0.0,1000.0,0,False,HOLD,25,2026-02-07 06:15:00+00:00
2026-02-07T06:30:00+00:00,2077.46,1000.0,0.0,1000.0,0,False,HOLD,26,2026-02-07 06:30:00+00:00
2026-02-07T06:45:00+00:00,2047.73,1000.0,0.0,1000.0,0,False,HOLD,27,2026-02-07 06:45:00+00:00
2026-02-07T07:00:00+00:00,2014.85,1000.0,0.0,1000.0,0,False,HOLD,28,2026-02-07 07:00:00+00:00
2026-02-07T07:15:00+00:00,2023.8,1000.0,0.0,1000.0,0,False,HOLD,29,2026-02-07 07:15:00+00:00
