ts,type,plan_index,plan_time_utc,plan_path,action,reason,reason_flags,start_block_reasons
2026-02-01T00:00:00+00:00,PLAN_SWITCH,0,2026-02-01 00:00:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T000000+0000.json,HOLD,,,
2026-02-01T00:15:00+00:00,PLAN_SWITCH,1,2026-02-01 00:15:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T001500+0000.json,HOLD,,,
2026-02-01T00:30:00+00:00,PLAN_SWITCH,2,2026-02-01 00:30:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T003000+0000.json,HOLD,,,
2026-02-01T00:45:00+00:00,PLAN_SWITCH,3,2026-02-01 00:45:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T004500+0000.json,HOLD,,,
2026-02-01T01:00:00+00:00,PLAN_SWITCH,4,2026-02-01 01:00:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T010000+0000.json,HOLD,,,
2026-02-01T01:15:00+00:00,PLAN_SWITCH,5,2026-02-01 01:15:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T011500+0000.json,HOLD,,,
2026-02-01T01:30:00+00:00,PLAN_SWITCH,6,2026-02-01 01:30:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T013000+0000.json,HOLD,,,
2026-02-01T01:45:00+00:00,PLAN_SWITCH,7,2026-02-01 01:45:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T014500+0000.json,HOLD,,,
2026-02-01T02:00:00+00:00,PLAN_SWITCH,8,2026-02-01 02:00:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T020000+0000.json,HOLD,,,
2026-02-01T02:15:00+00:00,PLAN_SWITCH,9,2026-02-01 02:15:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T021500+0000.json,STOP,,,
2026-02-01T02:15:00+00:00,STOP,9,2026-02-01 02:15:00+00:00,,,PLAN_STOP,['range_shift_stop'],"['gate_fail:adx_ok', 'gate_fail:ema_dist_ok', 'gate_fail:bbwp_gate_ok', 'gate_fail:fvg_gate_ok', 'gate_fail:mrvd_gate_ok', 'stop_rule_active']"
2026-02-01T02:30:00+00:00,PLAN_SWITCH,10,2026-02-01 02:30:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T023000+0000.json,HOLD,,,
2026-02-01T02:45:00+00:00,PLAN_SWITCH,11,2026-02-01 02:45:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T024500+0000.json,HOLD,,,
2026-02-01T03:00:00+00:00,PLAN_SWITCH,12,2026-02-01 03:00:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T030000+0000.json,HOLD,,,
2026-02-01T03:15:00+00:00,PLAN_SWITCH,13,2026-02-01 03:15:00+00:00,/freqtrade/user_data/walkforward/wf_oos_nonoverlap_pass22_combo_adx50_ema015/window_001_plans/grid_plan.20260201T031500+0000.json,HOLD,,,
