ts,close,quote,base,equity,open_orders,stop,action,plan_index,plan_time_utc,start_counterfactual_required_count,start_counterfactual_single,start_counterfactual_combo,start_counterfactual_required
2026-02-05T00:00:00+00:00,2137.48,1000.0,0.0,1000.0,0,False,HOLD,0,2026-02-05 00:00:00+00:00,4,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok
2026-02-05T00:15:00+00:00,2161.99,1000.0,0.0,1000.0,0,False,HOLD,1,2026-02-05 00:15:00+00:00,3,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok
2026-02-05T00:30:00+00:00,2156.11,1000.0,0.0,1000.0,0,False,HOLD,2,2026-02-05 00:30:00+00:00,3,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok
2026-02-05T00:45:00+00:00,2149.78,1000.0,0.0,1000.0,0,False,HOLD,3,2026-02-05 00:45:00+00:00,3,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok
2026-02-05T01:00:00+00:00,2165.91,1000.0,0.0,1000.0,0,False,HOLD,4,2026-02-05 01:00:00+00:00,3,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok
2026-02-05T01:15:00+00:00,2163.53,1000.0,0.0,1000.0,0,False,HOLD,5,2026-02-05 01:15:00+00:00,4,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:os_dev_build_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:os_dev_build_ok
2026-02-05T01:30:00+00:00,2156.62,1000.0,0.0,1000.0,0,False,HOLD,6,2026-02-05 01:30:00+00:00,4,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok
2026-02-05T01:45:00+00:00,2148.55,1000.0,0.0,1000.0,0,False,HOLD,7,2026-02-05 01:45:00+00:00,4,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok
2026-02-05T02:00:00+00:00,2126.62,1000.0,0.0,1000.0,0,False,HOLD,8,2026-02-05 02:00:00+00:00,4,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok
2026-02-05T02:15:00+00:00,2137.73,1000.0,0.0,1000.0,0,False,HOLD,9,2026-02-05 02:15:00+00:00,4,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok+gate_fail:fvg_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok|gate_fail:fvg_gate_ok
2026-02-05T02:30:00+00:00,2158.32,1000.0,0.0,1000.0,0,False,HOLD,10,2026-02-05 02:30:00+00:00,3,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok
2026-02-05T02:45:00+00:00,2124.31,1000.0,0.0,1000.0,0,False,HOLD,11,2026-02-05 02:45:00+00:00,3,,gate_fail:adx_ok+gate_fail:ema_dist_ok+gate_fail:bbwp_gate_ok,gate_fail:adx_ok|gate_fail:ema_dist_ok|gate_fail:bbwp_gate_ok
