ts,type,plan_index,plan_time_utc,plan_path,action,reason
2026-02-07T00:00:00+00:00,PLAN_SWITCH,0,2026-02-07 00:00:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212/window_001_plans/grid_plan.20260212T183637188788+0000.json,STOP,
2026-02-07T00:00:00+00:00,STOP,0,2026-02-07 00:00:00+00:00,,,PLAN_STOP
2026-02-07T00:15:00+00:00,PLAN_SWITCH,1,2026-02-07 00:15:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212/window_001_plans/grid_plan.20260212T183637213048+0000.json,STOP,
2026-02-07T00:15:00+00:00,STOP,1,2026-02-07 00:15:00+00:00,,,PLAN_STOP
2026-02-07T00:30:00+00:00,PLAN_SWITCH,2,2026-02-07 00:30:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212/window_001_plans/grid_plan.20260212T183637236548+0000.json,STOP,
2026-02-07T00:30:00+00:00,STOP,2,2026-02-07 00:30:00+00:00,,,PLAN_STOP
2026-02-07T00:45:00+00:00,PLAN_SWITCH,3,2026-02-07 00:45:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212/window_001_plans/grid_plan.20260212T183637260216+0000.json,STOP,
2026-02-07T00:45:00+00:00,STOP,3,2026-02-07 00:45:00+00:00,,,PLAN_STOP
2026-02-07T01:00:00+00:00,PLAN_SWITCH,4,2026-02-07 01:00:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212/window_001_plans/grid_plan.20260212T183637283855+0000.json,STOP,
2026-02-07T01:00:00+00:00,STOP,4,2026-02-07 01:00:00+00:00,,,PLAN_STOP
2026-02-07T01:15:00+00:00,PLAN_SWITCH,5,2026-02-07 01:15:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212/window_001_plans/grid_plan.20260212T183637307237+0000.json,STOP,
2026-02-07T01:15:00+00:00,STOP,5,2026-02-07 01:15:00+00:00,,,PLAN_STOP
2026-02-07T01:30:00+00:00,PLAN_SWITCH,6,2026-02-07 01:30:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212/window_001_plans/grid_plan.20260212T183637330478+0000.json,STOP,
2026-02-07T01:30:00+00:00,STOP,6,2026-02-07 01:30:00+00:00,,,PLAN_STOP
2026-02-07T01:45:00+00:00,PLAN_SWITCH,7,2026-02-07 01:45:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212/window_001_plans/grid_plan.20260212T183637353390+0000.json,STOP,
2026-02-07T01:45:00+00:00,STOP,7,2026-02-07 01:45:00+00:00,,,PLAN_STOP
