ts,type,plan_index,plan_time_utc,plan_path,action,reason,orders
2026-02-08T00:00:00+00:00,PLAN_SWITCH,0,2026-02-08 00:00:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905680134+0000.json,STOP,,
2026-02-08T00:00:00+00:00,STOP,0,2026-02-08 00:00:00+00:00,,,PLAN_STOP,
2026-02-08T00:15:00+00:00,PLAN_SWITCH,1,2026-02-08 00:15:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905703424+0000.json,STOP,,
2026-02-08T00:15:00+00:00,STOP,1,2026-02-08 00:15:00+00:00,,,PLAN_STOP,
2026-02-08T00:30:00+00:00,PLAN_SWITCH,2,2026-02-08 00:30:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905726263+0000.json,HOLD,,
2026-02-08T00:45:00+00:00,PLAN_SWITCH,3,2026-02-08 00:45:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905749053+0000.json,HOLD,,
2026-02-08T01:00:00+00:00,PLAN_SWITCH,4,2026-02-08 01:00:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905771971+0000.json,HOLD,,
2026-02-08T01:15:00+00:00,PLAN_SWITCH,5,2026-02-08 01:15:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905794608+0000.json,HOLD,,
2026-02-08T01:30:00+00:00,PLAN_SWITCH,6,2026-02-08 01:30:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905817550+0000.json,HOLD,,
2026-02-08T01:45:00+00:00,PLAN_SWITCH,7,2026-02-08 01:45:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905839882+0000.json,STOP,,
2026-02-08T01:45:00+00:00,STOP,7,2026-02-08 01:45:00+00:00,,,PLAN_STOP,
2026-02-08T02:00:00+00:00,PLAN_SWITCH,8,2026-02-08 02:00:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905862464+0000.json,STOP,,
2026-02-08T02:00:00+00:00,STOP,8,2026-02-08 02:00:00+00:00,,,PLAN_STOP,
2026-02-08T02:15:00+00:00,PLAN_SWITCH,9,2026-02-08 02:15:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905884849+0000.json,STOP,,
2026-02-08T02:15:00+00:00,STOP,9,2026-02-08 02:15:00+00:00,,,PLAN_STOP,
2026-02-08T02:30:00+00:00,PLAN_SWITCH,10,2026-02-08 02:30:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905909191+0000.json,STOP,,
2026-02-08T02:30:00+00:00,STOP,10,2026-02-08 02:30:00+00:00,,,PLAN_STOP,
2026-02-08T02:45:00+00:00,PLAN_SWITCH,11,2026-02-08 02:45:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905932946+0000.json,STOP,,
2026-02-08T02:45:00+00:00,STOP,11,2026-02-08 02:45:00+00:00,,,PLAN_STOP,
2026-02-08T03:00:00+00:00,PLAN_SWITCH,12,2026-02-08 03:00:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905957751+0000.json,STOP,,
2026-02-08T03:00:00+00:00,STOP,12,2026-02-08 03:00:00+00:00,,,PLAN_STOP,
2026-02-08T03:15:00+00:00,PLAN_SWITCH,13,2026-02-08 03:15:00+00:00,/freqtrade/user_data/walkforward/wf_timevary_20260212b/window_002_plans/grid_plan.20260212T183905982097+0000.json,STOP,,
2026-02-08T03:15:00+00:00,STOP,13,2026-02-08 03:15:00+00:00,,,PLAN_STOP,
